,id,groupId,push,pull,cost
44,739,44,734,652,1386
1343,3877,49,-6136,47622,41486
618,2699,55,48547,28698,77245
495,2419,55,48656,28610,77266
839,3090,55,49238,28316,77554
469,2360,55,48810,28912,77722
538,2535,55,49666,28143,77809
516,2447,55,50884,27276,78160
522,2456,55,49254,28952,78206
616,2697,55,50482,27780,78262
617,2698,55,49250,29246,78496
504,2429,55,50263,28511,78774
492,2416,55,51392,27831,79223
449,2297,55,49133,30154,79287
526,2462,55,51195,28434,79629
518,2450,55,52220,27627,79847
899,3164,55,47892,32057,79949
848,3104,55,51076,29138,80214
505,2430,55,50327,29985,80312
408,2205,55,49152,31480,80632
841,3093,55,50706,29966,80672
501,2425,55,52833,27861,80694
528,2464,55,52806,27892,80698
845,3100,55,50682,30512,81194
901,3166,55,52564,28757,81321
620,2701,55,51233,30107,81340
510,2441,55,51655,29828,81483
897,3162,55,49217,32284,81501
835,3084,55,49518,32071,81589
493,2417,55,53497,28234,81731
1035,3394,55,52420,29382,81802
521,2455,55,50732,31148,81880
407,2202,55,51927,30285,82212
1292,3787,111,51812,30414,82226
415,2224,55,47912,34351,82263
443,2284,55,52772,29503,82275
494,2418,55,53760,28618,82378
441,2276,55,53210,29427,82637
557,2593,55,49720,33132,82852
512,2443,55,54784,28074,82858
511,2442,55,52163,30718,82881
850,3106,55,54156,28728,82884
690,2842,55,55297,27634,82931
851,3108,55,54047,28907,82954
905,3170,55,50273,32731,83004
409,2207,55,52263,30778,83041
907,3172,55,50966,32221,83187
520,2454,55,55014,28221,83235
503,2428,55,54583,28901,83484
1302,3804,55,54379,29130,83509
497,2421,55,51644,31955,83599
844,3099,55,52957,30658,83615
523,2457,55,55808,27869,83677
650,2769,55,51283,32477,83760
457,2319,55,51043,32736,83779
895,3160,55,52465,31365,83830
471,2365,55,51191,32653,83844
1013,3352,55,50366,33484,83850
643,2754,55,54905,29043,83948
432,2262,55,53818,30199,84017
840,3092,55,55343,28700,84043
1287,3780,55,54735,29438,84173
847,3102,55,53520,30989,84509
418,2231,55,53725,30846,84571
412,2218,55,54530,30104,84634
647,2764,55,56552,28109,84661
502,2426,55,55687,28980,84667
431,2259,55,54028,30653,84681
458,2320,55,54638,30359,84997
694,2848,55,53576,31690,85266
562,2601,55,55811,29471,85282
619,2700,55,57411,27998,85409
527,2463,55,53640,31858,85498
454,2314,55,55894,29697,85591
429,2255,55,56013,29725,85738
625,2711,55,56660,29207,85867
555,2590,55,54747,31270,86017
496,2420,55,57242,28783,86025
459,2321,55,51583,34702,86285
513,2444,55,55906,30385,86291
507,2436,55,57692,28614,86306
736,2923,55,53671,32681,86352
519,2452,55,58719,27820,86539
389,2175,55,53611,33229,86840
461,2327,55,54925,31996,86921
695,2849,55,54836,32176,87012
517,2448,55,55561,31520,87081
514,2445,55,56577,30772,87349
525,2461,55,59706,27980,87686
453,2312,55,53277,34410,87687
642,2753,55,54462,33291,87753
838,3088,55,56622,31365,87987
395,2182,55,56110,31924,88034
737,2924,55,54824,33430,88254
524,2458,55,57111,31387,88498
382,2153,55,56194,32554,88748
915,3180,55,55698,33287,88985
410,2209,55,56705,32314,89019
509,2440,55,55806,33438,89244
820,3063,55,52589,36802,89391
1134,3538,55,54086,35316,89402
392,2178,55,57355,32186,89541
413,2219,55,53147,36510,89657
